Agency_name,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,FullAdd,type,loctype,address_1,CD114FP,lon,lat
Open Hand Atlanta,NA,Well Spring Living Fowler,5600,W Jones Bridge Rd,Norcross,30092,Gwinett,NA,"5600 W Jones Bridge Rd, Norcross, GA 30092",premise,rooftop,"5600 w jones bridge rd, norcross, ga 30092, usa",7,-84.227579,33.9788817
Open Hand Atlanta,NA,Well Spring Living Fowler,5600,W Jones Bridge Rd,Norcross,30092,Gwinett,Adults 18+,"5600 W Jones Bridge Rd, Norcross, GA 30092",premise,rooftop,"5600 w jones bridge rd, norcross, ga 30092, usa",7,-84.227579,33.9788817
Open Hand Atlanta,NA,Norcross Farmer Market,5,College St NW,Norcross,30071,Gwinett,NA,"5 College St NW, Norcross, GA 30071",street_address,rooftop,"5 college st nw, norcross, ga 30071, usa",7,-84.2114417,33.9420008
Open Hand Atlanta,NA,Norcross Farmer Market,5,College St NW,Norcross,30071,Gwinett,Adults 18+,"5 College St NW, Norcross, GA 30071",street_address,rooftop,"5 college st nw, norcross, ga 30071, usa",7,-84.2114417,33.9420008
Open Hand Atlanta,NA,Norcross Elementary School,150,Hunt St.,Norcross,30017,Gwinnett,NA,"150 Hunt St., Norcross, GA 30017",street_address,rooftop,"150 hunt st, norcross, ga 30071, usa",7,-84.206626,33.9458672
Open Hand Atlanta,NA,Norcross Elementary School,150,Hunt St.,Norcross,30017,Gwinnett,Families,"150 Hunt St., Norcross, GA 30017",street_address,rooftop,"150 hunt st, norcross, ga 30071, usa",7,-84.206626,33.9458672
Open Hand Atlanta,NA,Baldwin Elementary,123,123 Price Place,Norcross,30071,Gwinnett,NA,"123 123 Price Place, Norcross, GA 30071",street_address,range_interpolated,"123 price pl nw, norcross, ga 30071, usa",7,-84.2064463,33.9388968
HealthMPowers,after school,A. Worley Brown Club,5360,Old Norcross Road,Norcross,30071,Gwinnett,18-May,"5360 Old Norcross Road, Norcross, GA 30071",premise,rooftop,"5360 old norcross rd, norcross, ga 30071, usa",7,-84.1998875,33.9467267
HealthMPowers,NA,A. Worley Brown Club,5360,Old Norcross Road,Norcross,30071,Gwinnett,NA,"5360 Old Norcross Road, Norcross, GA 30071",premise,rooftop,"5360 old norcross rd, norcross, ga 30071, usa",7,-84.1998875,33.9467267
Open Hand Atlanta,NA,Stanford Apartment,5537,Stanford Village Lane,Norcross,30071,Gwinnett,NA,"5537 Stanford Village Lane, Norcross, GA 30071",street_address,range_interpolated,"5537 stanford village ln, norcross, ga 30071, usa",7,-84.1970599,33.9369745
