Agency,Date Added,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,Agency_name,lon,lat,loctype,search_add
1,1/1/2018,"Food Talk, Food Talk:Better U",Bartow Headstart,15,Felton Place St.,Cartersville,30121,Bartow,Adults 18+,UGA,-84.7927993,34.1952139,range_interpolated,"15 Felton Place St.,Cartersville,GA,30121"
1,1/1/2018,"Food Talk, Food Talk:Better U",Habitat for Humanity,532,Barber St.,Athens,30901,Clarke,Adults 18+,UGA,-83.3860425,33.967854,rooftop,"532 Barber St.,Athens,GA,30901"
1,1/1/2018,"Food Talk, Food Talk:Better U",PALS,1860,Barnett Shoals Rd.,Athens,30605,Clarke,Adults 18+,UGA,-83.341195,33.9250318,rooftop,"1860 Barnett Shoals Rd.,Athens,GA,30605"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Barnett Shoals Elementary School,3220,Barnett Shoals Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.338064,33.902135,rooftop,"3220 Barnett Shoals Rd.,Athens,GA,30605"
1,1/1/2018,"Food Talk, Food Talk:Better U",Kinship Care Resource Center,849,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.36449,33.554024,rooftop,"849 Battle Creek Rd.,Jonesboro,GA,30236"
1,1/1/2018,"Food Talk, Food Talk:Better U",The Cove,15,Liberty Square Dr.,Cartersville,30121,Bartow,Adults 18+,UGA,-84.7823845,34.2143327,range_interpolated,"15 Liberty Square Dr.,Cartersville,GA,30121"
1,1/1/2018,"Food Talk, Food Talk: Better U",ATCO-Senior Center,25,Relihan St.,Pearson,31642,Coffee,Adults 18+,UGA,-82.8451218,31.2920678,range_interpolated,"25 Relihan St.,Pearson,GA,31642"
1,1/1/2018,"Food Talk, Food Talk: Better U",DeKalb/Atlanta Senior Center,25,Warren St.,Atlanta,30317,DeKalb,Adults 18+,UGA,-84.3268042,33.7527924,rooftop,"25 Warren St.,Atlanta,GA,30317"
1,1/1/2018,"Food Talk, Food Talk: Better U",Willacoochee Senior Center,68,Boone St.,Wilacoochee,31650,Coffee,Adults 18+,UGA,-83.0496883,31.339572,rooftop,"68 Boone St.,Wilacoochee,GA,31650"
1,1/1/2018,"Food Talk, Food Talk: Better U, Food Talk: Farmers Market",Adams Park Library,2231,"Cambelton Rd., SW",Atlanta,30311,Fulton,Adults 18+,UGA,-84.461676,33.705695,rooftop,"2231 Cambelton Rd., SW,Atlanta,GA,30311"
1,1/1/2018,"Food Talk, Food Talk: Better U",Senior Connection,1931,Candler Rd.,Decatur,30032,DeKalb,Adults 18+,UGA,-84.2862172,33.7342694,rooftop,"1931 Candler Rd.,Decatur,GA,30032"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Chase Street Elementary School,757,Chase St.,Athens,30601,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.394176,33.9646803,rooftop,"757 Chase St.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk: Better U, Food Talk: Farmers Market",Exchange Recreation Center,2771,Columbia Dr.,Decatur,30034,DeKalb,Adults 18+,UGA,-84.2537527,33.7074199,rooftop,"2771 Columbia Dr.,Decatur,GA,30034"
1,1/1/2018,"Food Talk, Food Talk:Better U",RHEMA,1850,Danielsville Rd.,Athens,30601,Clarke,Adults 18+,UGA,-83.352669,33.999623,rooftop,"1850 Danielsville Rd.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk: Better U",Haven G5,967,Dewey St.,Atlanta,30310,Fulton,Adults 18+,UGA,-84.4075239,33.7284173,rooftop,"967 Dewey St.,Atlanta,GA,30310"
1,1/1/2018,"Food Talk, Food Talk: Better U",Dogwood Seniors,1838,Donald Lee Hollowell Pkwy NW,Atlanta,30318,Fulton,Adults 18+,UGA,-84.4470368,33.7740391,rooftop,"1838 Donald Lee Hollowell Pkwy NW,Atlanta,GA,30318"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Barrow Elementary School,100,Pinecrest Dr.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.3826533,33.9420131,rooftop,"100 Pinecrest Dr.,Athens,GA,30605"
1,1/1/2018,"Food Talk, Food Talk: Better U",Concerted Services-Pearson,818,E. Austin Ave.,Pearson,31642,Coffee,Adults 18+,UGA,-82.8438493,31.2936841,range_interpolated,"818 E. Austin Ave.,Pearson,GA,31642"
1,1/1/2018,"Food Talk, Food Talk:Better U",Paxen,121,E. Felton Rd.,Cartersville,30120,Bartow,Adults 18+,UGA,-84.7944615,34.1963057,rooftop,"121 E. Felton Rd.,Cartersville,GA,30120"
1,1/1/2018,"Food Talk, Food Talk:Better U",Adairsville United Methodist Church,102,S. Main St.,Adairsville,30103,Bartow,Adults 18+,UGA,-84.9345705,34.3679698,rooftop,"102 S. Main St.,Adairsville,GA,30103"
