Agency,Date Added,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,Agency_name,lon,lat,loctype,search_add,CD114FP
2,1/1/2018,,Norcross Elementary School,150,Hunt St.,Norcross,30017,Gwinnett,Families,Open Hand Atlanta,-84.20663,33.94587,rooftop,"150 Hunt St.,Norcross,GA,30017",7
2,1/1/2018,,Well Spring Living Fowler,5600,W Jones Bridge Rd,Norcross,30092,Gwinett,Adults 18+,Open Hand Atlanta,-84.22758,33.97888,rooftop,"5600 W Jones Bridge Rd,Norcross,GA,30092",7
2,1/1/2018,,Norcross Mobile Home Village,4498,Buford Highway,Norcross,30319,Gwinett,Adults 18+,Open Hand Atlanta,-84.17573,33.96707,rooftop,"4498 Buford Highway,Norcross,GA,30319",7
2,1/1/2018,WIC Clinic,Lawrenceville Health Center- WIC,455,455 Grayson Hwy Suite 300,Lawrenceville,30046,Gwinnett,Adults,Open Hand Atlanta,-83.98164,33.93953,rooftop,"455 Grayson Hwy Suite 300,Lawrenceville,GA,30046",7
2,1/1/2018,"Cooking Matters for Adults, Teens and Kids",Baggett Elementary,2136,Old Norcross Rd.,Lawrenceville,30044,Gwinnett,"Adults, Teens, Kids",Open Hand Atlanta,-84.06751,33.95057,rooftop,"2136 Old Norcross Rd.,Lawrenceville,GA,30044",7
2,1/1/2018,"Cooking Matters for Adults, Teens and Kids",Beaver Ridge Elementary,1978,Beaver Ruin. Rd.,Norcross,30071,Gwinnett,"Adults, Teens, Kids",Open Hand Atlanta,-84.17306,33.93443,rooftop,"1978 Beaver Ruin. Rd.,Norcross,GA,30071",7
2,1/1/2018,,Phoenix High School,501,W. Pike St.,Lawrenceville,30046,Gwinnett,Adults and Teens,Open Hand Atlanta,-84.00477,33.96348,rooftop,"501 W. Pike St.,Lawrenceville,GA,30046",7
2,1/1/2018,"Cooking Matters for Kids, Teens, and Adults",Corners Outreach,2,"Sun Court, Suite 220",Peachtree Corners,30092,Gwinnett,"Adults, Teens, Kids",Open Hand Atlanta,-84.22697,33.96825,,"2 Sun Court, Suite 220,Peachtree Corners,GA,30092",7
2,1/1/2018,"Cooking Matters for Kids, Adults and Teens","The Place of Forsyth County, Inc.",2550,The Place Circle,Cumming,30040,Forsyth,,Open Hand Atlanta,-84.1026,34.23187,,"2550 The Place Circle,Cumming,GA,30040",7
2,1/1/2018,"Cooking Matters for Kids, Adults and Teens",Audubon Creek,1111,Amber Drive,Norcross,30071,Gwinnett,,Open Hand Atlanta,-84.18862,33.93628,,"1111 Amber Drive,Norcross,GA,30071",7
3,1/1/2018,Child Care,Buford Head Start Center/Pre-K,84,Maddox Road,Buford,30518,Gwinette,5 yrs >,HealthMPowers,-83.99825,34.09838,rooftop,"84 Maddox Road,Buford,GA,30518",7
3,1/1/2018,Child Care,Norcross Head Start,5030,Georgia Belle Court,Norcross,30093,Gwinnett,5 yrs >,HealthMPowers,-84.16504,33.92038,rooftop,"5030 Georgia Belle Court,Norcross,GA,30093",7
3,1/1/2018,Child Care,Kandolo Baze,1210,Herrington Road,Lawrenceville,30044,Gwinnett,5 yrs >,HealthMPowers,-84.08251,33.95021,rooftop,"1210 Herrington Road,Lawrenceville,GA,30044",7
3,1/1/2018,Child Care,Sunshine House Hurricane Shoals,208,Hurricane Shoals Rd. NW,Lawrenceville,30046,Gwinnett,5 yrs >,HealthMPowers,-83.99809,33.96804,rooftop,"208 Hurricane Shoals Rd. NW,Lawrenceville,GA,30046",7
3,1/1/2018,after school,A. Worley Brown Club,5360,Old Norcross Road,Norcross,30071,Gwinnett,18-May,HealthMPowers,-84.19989,33.94673,rooftop,"5360 Old Norcross Road,Norcross,GA,30071",7
3,1/1/2018,Child Care,Sunshine House Duluth,1494,Pleasant Hill Rd.,Duluth,30096,Gwinnett,5 yrs >,HealthMPowers,-84.12197,33.94261,rooftop,"1494 Pleasant Hill Rd.,Duluth,GA,30096",7
